id,title,status,source,accountId,contactId,ownerId,territoryId,contactName,contactEmail,contactPhone,companyName,estimatedValue_constructor,estimatedValue_s,estimatedValue_e,estimatedValue_d,description,lostReason,convertedAt,convertedToOppId,followUpDate,followUpNote,deletedAt,aiScore,aiScoreReason,aiScoredAt,createdAt,updatedAt,owner_id,owner_firstName,owner_lastName,owner_email
f5fd24d3-09e6-45ad-9f47-f99f59230dbd,E-commerce Platform,NEW,WEBSITE,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Ahmad Zaki,zaki@retailgiant.my,,Retail Giant MY,,1,5,,Multi-vendor marketplace build,,,,,,,,,,2026-05-19T14:22:02.039Z,2026-05-19T14:22:02.039Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
1c333c32-f635-481e-8a5e-969f77257781,IoT Sensor Network,NEW,TRADE_SHOW,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Lim Wee Chai,lim.wc@topglove.com,,Top Glove,,1,5,,Factory floor monitoring system,,,,,,,,,,2026-05-19T14:22:02.035Z,2026-05-19T14:22:02.035Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
12927c12-7f01-4365-a8ab-342680600528,Property Management System,CONTACTED,REFERRAL,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Jeffrey Cheah,jeffrey.cheah@sunwayproperty.com,,Sunway Property,,1,5,,Integrated PMS for 10 properties,,,,,,,,,,2026-05-19T14:22:02.037Z,2026-05-19T14:22:02.037Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
92d73d15-f822-47d5-94ba-c2ba612badff,Data Analytics Platform,QUALIFIED,PARTNER,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Ooi Kuang Ping,kuangping@grab.com,,Grab Malaysia,,1,5,,Real-time analytics dashboard,,,,,,,,,,2026-05-19T14:22:02.037Z,2026-05-19T14:22:02.037Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
401bf64b-da7a-4275-b5f7-f23da9cb807c,Supply Chain Optimization,QUALIFIED,REFERRAL,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Wong Kim Fatt,kimfatt@logisticspro.my,,Logistics Pro,,1,5,,AI-driven route optimization,,,,,,,,,,2026-05-19T14:22:02.040Z,2026-05-19T14:22:02.040Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
dcfef08b-68fc-4134-a6f9-56532b802282,Digital Transformation,NEW,PARTNER,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Ramesh Kumar,ramesh@govtech.gov.my,,GovTech Agency,,1,5,,Government digital services platform,,,,,,,,,,2026-05-19T14:22:02.041Z,2026-05-19T14:22:02.041Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
743e3d93-e671-478d-8dc7-a6008bb113c9,POS System Upgrade,NEW,COLD_CALL,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Lisa Chen,lisa@cafechain.my,,Cafe Chain MY,,1,4,,10 outlet POS replacement,,,,,,,,,,2026-05-19T14:22:02.041Z,2026-05-19T14:22:02.041Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
6ebc504e-8344-475d-8372-3d7f9f9ed05f,Cybersecurity Audit,UNQUALIFIED,COLD_CALL,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,David Lee,david@techcorp.my,,TechCorp Sdn Bhd,,1,4,,Budget too small,,,,,,,,,,2026-05-19T14:22:02.038Z,2026-05-19T14:22:02.038Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
bb77c05a-ae1c-4d42-afc5-efe925b7ce0a,HR System Integration,LOST,ADVERTISEMENT,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Priya Sharma,priya@hrsolutions.my,,HR Solutions KL,,1,4,,Lost to Oracle HCM,Went with competitor,,,,,,,,,2026-05-19T14:22:02.039Z,2026-05-19T14:22:02.039Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
344cfbc8-57c1-4abc-9cfd-c5b655f19545,Enterprise CRM Implementation,QUALIFIED,REFERRAL,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Azman Ibrahim,azman.ibrahim@petronas.com,,Petronas Digital,,1,5,,Full CRM rollout for 500+ users,,,,,,,,,,2026-05-19T14:22:02.032Z,2026-05-19T14:22:02.032Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
ae05621a-a0e4-4042-8a20-003b45f08a6f,Mobile App Development,NEW,WEBSITE,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Riad Asmat,riad@airasiadigital.com,,AirAsia Digital,,1,5,,Customer loyalty app revamp,,,,,,,,,,2026-05-19T14:22:02.036Z,2026-05-19T14:22:02.036Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
aff860af-50d7-42de-8e0e-01465f25146f,Learning Management System,CONTACTED,WEBSITE,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Nurul Huda,nurul@edutech.my,,EduTech Malaysia,,1,5,,Online learning platform,,,,,,,,,,2026-05-19T14:22:02.042Z,2026-05-19T14:22:02.042Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
c4627ed2-d56c-4e3f-b92a-3d8dd53f2793,Cloud Migration Project,CONTACTED,LINKEDIN,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Mohd Faizal,faizal@maybank-islamic.com.my,,Maybank Islamic,,1,5,,AWS/Azure migration consulting,,,,,,,,,,2026-05-19T14:22:02.034Z,2026-05-19T14:22:02.034Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
aad5c095-60fe-4c88-a005-ec2186f9347a,AI Chatbot Implementation,CONTACTED,LINKEDIN,,,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,,Fatimah Ali,fatimah@bankrakyat.com.my,,Bank Rakyat,,1,5,,Customer service automation,,,,,,,,,,2026-05-19T14:22:02.040Z,2026-05-19T14:22:02.040Z,b8da9847-ac4a-4b89-b0fd-0618fcabb88d,Nurul,Ain,salesrep@test.local
c2f91394-bea4-4787-8d03-a0f6945cd33d,[DEMO] Shariah-Compliant Will Writing — Syed Corp,CONTACTED,LINKEDIN,,,a2059d7a-f30d-4896-ad2c-a892efda33fe,,Datuk Syed Hamid,syed.hamid@syedcorp.example.my,,Syed Corporation Bhd,,1,5,,Group-wide Islamic will writing and wasiyyah for board directors and C-suite,,,,2026-05-21T14:22:06.094Z,[DEMO] Follow up on [DEMO] Shariah-Compliant Will Writing — Syed Corp,,58,LinkedIn inbound — warm lead with verified email. Needs meeting.,2026-05-19T14:22:06.094Z,2026-05-19T14:22:06.094Z,2026-05-19T14:22:06.094Z,a2059d7a-f30d-4896-ad2c-a892efda33fe,Emily,Chow,emily.chow@citadelgroup.com.my
